Students	200
1	64 69 79 30
2	59 23 68 71
3	14 80 72 39
4	15 23 35 76
5	76 7 27 35
6	3 28 77 59
7	42 40 55 78
8	12 28 47 13
9	79 67 65 5
10	20 70 49 73
11	27 40 25 23
12	60 73 64 77
13	76 11 27 77
14	65 6 8 14
15	9 73 52 65
16	46 64 62 33
17	46 69 5 18
18	41 19 79 71
19	25 5 59 35
20	8 78 72 53
21	12 15 54 5
22	72 74 63 30
23	74 27 70 53
24	67 69 56 32
25	32 1 5 61
26	3 14 17 25
27	39 52 23 66
28	39 30 54 53
29	45 37 5 44
30	46 43 71 45
31	30 34 76 14
32	13 48 26 36
33	21 43 19 69
34	26 39 28 60
35	61 55 6 51
36	55 27 25 9
37	76 61 15 28
38	71 42 19 10
39	50 39 66 67
40	57 77 34 42
41	69 10 59 16
42	61 66 78 68
43	41 73 48 9
44	5 20 77 2
45	30 62 35 68
46	9 69 22 68
47	68 51 58 27
48	31 53 46 78
49	7 9 49 52
50	15 53 77 60
51	19 56 15 2
52	24 59 29 78
53	5 44 53 40
54	2 72 41 31
55	44 80 39 40
56	1 2 54 12
57	49 74 66 54
58	75 23 73 35
59	78 46 15 73
60	74 38 54 16
61	22 61 42 63
62	58 33 13 12
63	79 35 11 27
64	21 39 79 18
65	13 49 75 25
66	35 48 68 73
67	21 54 6 69
68	70 3 27 60
69	15 67 21 24
70	48 73 27 55
71	22 50 45 75
72	71 54 41 25
73	73 12 4 18
74	52 21 45 28
75	16 80 76 19
76	11 28 7 3
77	50 40 69 61
78	74 7 75 41
79	9 67 47 10
80	61 38 65 58
81	47 7 18 32
82	36 45 9 25
83	36 30 9 5
84	65 78 77 51
85	44 30 57 50
86	11 28 30 69
87	22 61 14 11
88	58 56 19 77
89	4 16 49 10
90	31 21 32 51
91	76 40 62 71
92	3 78 41 31
93	52 67 47 59
94	41 75 44 35
95	72 21 6 37
96	33 34 59 55
97	40 24 76 13
98	20 14 69 24
99	36 27 37 71
100	18 3 67 43
101	47 54 46 31
102	64 52 65 56
103	73 38 57 46
104	49 29 31 55
105	32 34 58 73
106	75 48 77 33
107	75 53 37 44
108	2 66 32 51
109	50 11 41 8
110	66 48 18 55
111	30 20 73 62
112	69 65 56 38
113	17 44 55 36
114	22 55 61 41
115	4 39 51 41
116	5 42 14 29
117	58 59 57 41
118	35 11 41 42
119	20 10 79 46
120	58 61 63 14
121	47 27 78 30
122	45 17 40 44
123	5 26 49 71
124	16 37 28 14
125	58 50 52 25
126	7 73 60 76
127	38 27 61 69
128	60 41 39 80
129	30 18 32 40
130	35 78 27 42
131	60 33 52 74
132	10 22 67 5
133	32 80 33 13
134	12 22 41 23
135	21 24 72 54
136	3 21 79 60
137	68 47 46 14
138	17 67 37 63
139	11 50 25 61
140	23 29 25 7
141	34 27 39 79
142	51 70 13 40
143	46 3 41 70
144	45 16 73 51
145	42 65 40 31
146	75 76 7 45
147	15 9 74 72
148	4 29 48 23
149	62 79 25 51
150	17 61 78 64
151	58 39 12 61
152	48 60 73 41
153	5 63 76 61
154	67 65 19 14
155	52 60 42 54
156	63 43 26 66
157	33 6 63 62
158	80 73 35 70
159	24 52 37 5
160	18 64 1 31
161	35 4 49 58
162	28 42 22 10
163	47 33 17 6
164	61 64 75 26
165	11 71 3 17
166	14 46 52 39
167	61 10 63 28
168	38 65 64 66
169	33 17 40 57
170	4 17 27 66
171	73 56 39 3
172	14 15 20 67
173	6 2 25 77
174	28 11 61 77
175	60 2 67 74
176	34 5 45 16
177	68 44 31 36
178	35 58 75 7
179	35 8 56 22
180	32 14 51 66
181	51 71 77 65
182	14 12 45 4
183	69 6 26 71
184	44 21 70 79
185	75 39 69 77
186	58 57 65 28
187	77 29 59 8
188	10 13 40 37
189	28 25 50 61
190	53 23 6 77
191	65 36 24 14
192	80 5 29 49
193	67 29 64 44
194	14 41 64 60
195	14 74 9 52
196	64 61 27 60
197	20 19 53 41
198	10 12 1 79
199	27 45 53 5
200	51 52 35 33
