Students	1127
1	1 2 3
2	4
3	5
4	6
5	7 8 3
6	9
7	10 11
8	12 13
9	14 15
10	16 14 17 18
11	19 14 20
12	21 22
13	23 24 25
14	26
15	27 14 28 29
16	30 31
17	32 33 14
18	34 35 36 14 18
19	37 16 14 38
20	39 40 41
21	3
22	42 43 44
23	11
24	45 46 47 48
25	12 49
26	50 51 29 52
27	23 36 53
28	54 55 56 57
29	58 59
30	60 61 62
31	63 64 65
32	27 14 66
33	67 31 18 22
34	36 68 69
35	70 71 47 72
36	34 73 74 75
37	39 24
38	76 77 78
39	64 72 79
40	73 80 81
41	16 82 83 14
42	84
43	16 14 85
44	86 87 88 3 89
45	27 29 10
46	19 90 91
47	80 92 5 71
48	72 79
49	76 93
50	35 36 1
51	14 85 94
52	95 88 96 97
53	83 14 85
54	27 14 94
55	95 98 99
56	100
57	101
58	58 102
59	81 103 104
60	56 105 106
61	107 108
62	47
63	37 83 33 6
64	109 110
65	111 112
66	101 91 47
67	22
68	32 14 113
69	114 76
70	115 104
71	7 3 103 116
72	14
73	24 33 117 18
74	118
75	35 36 80 119
76	17 44
77	82 14 56 18
78	63 71 47 104
79	23 35 14 38
80	120 24
81	121 122 123 47
82	6
83	124 40 63 79
84	123 47 125 72
85	37 16 14 126
86	40 47
87	14 18
88	56 105 123 127
89	3 128 43 129
90	56 106 130 62
91	131 84 132 133
92	100 134 123 47
93	14 135 75
94	110 44
95	59
96	136 137
97	115 56 138
98	19 9
99	139 101 91
100	83 14 18 38
101	115 140 138
102	9
103	58 33 43
104	36 141 119 142
105	143
106	105 127
107	144 6 72
108	145 10
109	43 44
110	70 123 71 47
111	146
112	147 37 148 103
113	71 47 149 104
114	95 100 57 104
115	17 128
116	143 150
117	87 88 96 151
118	75 44
119	83 6 44
120	35 36 119
121	150 91 140 47
122	62
123	52 152
124	139 133 101 91
125	139 101 91 146
126	34 53 153
127	154 56 129 89
128	126 65 52
129	115 134
130	70 155 47 25 22
131	156 95
132	70 10 128
133	14 18
134	89 44 157
135	12 63 87 146
136	158 14
137	159
138	47 6 160 22
139	71 47
140	100 68 149 57
141	161 62 89
142	131 3
143	32 19 14 20
144	127
145	14 51 78
146	20 75
147	144 14 28 18
148	141 156 95 97
149	83 14
150	90 101 91
151	11 113
152	36 162 163
153	14 18
154	164 165 135 127
155	141 156 93 97
156	40 46 155 159
157	144 16 27 14
158	134 166
159	1 84 8
160	156 95 167 97
161	14 13
162	36 65
163	35 36 71
164	168 21
165	124 132 80
166	169
167	27 14 38
168	136 170 62 127
169	171 76 135 62
170	143 47 138
171	156 95 172 97
172	23 35 36
173	42 173
174	174 52
175	64 48
176	70 175 80 56
177	82 28 134
178	82 101 91
179	107 71 47
180	131 174
181	176
182	39 53 46
183	39 177 89
184	178 144 14 94
185	179 180
186	181 87 182 174
187	182 10 128 74
188	85 177 183 184
189	185 118 140 47
190	10 89
191	123 47
192	124
193	43
194	140 127
195	35 36 186 6
196	90 150 91
197	34 1 171
198	44
199	14 137 38
200	187 18
201	23 35 36
202	131 61 33
203	14 128 18 94
204	53
205	51 101
206	114 161 40 163 188
207	189 91
208	47 125
209	58 59
210	134 51 91 152
211	2 93 41 190
212	40 167 188
213	143 19 20
214	93 191 190
215	56 140 47 104
216	1 6
217	101 3 192
218	58 182
219	141 156 95 193 97
220	120 24
221	32 27 14 29
222	184
223	194 133 100 121 195
224	1 110
225	19 72 79
226	72
227	90 101 91 29
228	47
229	163 196 100 4
230	121 190
231	35 39 124
232	197 150 193
233	143 101
234	39 124
235	143
236	45 138 190
237	40 14 47
238	131 31
239	12 65
240	198 123 71 47
241	199 44
242	14 75
243	113
244	52
245	189 53 146
246	64 29 52
247	121 126 71 47
248	124 56 200
249	143 101
250	58 201 59
251	90
252	27 111 102 94
253	85 177 43 129
254	1 176 51 3
255	90 150 101 190
256	40 188
257	100 134
258	30 134
259	58 191 177 3
260	23 36 202 97
261	95 99 96 97
262	136 203 137
263	160 11 113 119
264	123 71 47
265	136 56 184 9
266	12 204 13
267	175 47
268	5 29 123
269	56 177 90
270	71 47 22
271	141 156 70 187
272	36 69
273	205 101 142 190
274	206 90 91
275	201 143 9 59
276	53 11 113
277	19
278	134 192
279	131 61 200
280	207 106
281	85 56 11
282	83 100 28 18
283	120 24 3
284	95 208 57 97
285	209 111 148 210
286	177 183 138
287	144 24 57
288	8 90 51
289	14 56 38 22
290	14 85
291	156 95 97
292	181
293	35 10 44
294	86 87
295	101 91 45 13
296	17 44
297	33 4 174
298	176 205 177 96
299	32 33
300	140 71 47
301	180
302	171 76
303	182 211
304	51 101 20
305	29 168 123 47
306	76 77 78
307	71 47
308	11 113 119
309	140 47
310	35 131 109 3
311	8 58 201 177
312	4 146
313	212
314	63 53 21 47
315	43
316	132 175 133 51
317	115 30 134
318	131 84 70 43
319	64 29 52 13
320	64 184 9 77
321	83 14 56
322	36 105 29 119
323	71 47 213
324	95 115 97
325	214 134 126
326	70
327	215 133 25
328	14 216
329	10 43 44
330	58 201 177 59
331	67 107 48 22
332	82 94
333	204
334	141 156 115 97
335	40 207
336	139 194 133 48
337	197 84 56
338	176 194
339	56 46 123
340	67 217 22
341	179 205 81 180
342	196 207 90 150 101
343	197 90 150 51
344	207
345	218 160 26
346	34 68 149
347	87 6 96 219
348	187 87 159 151
349	34 220 6 221
350	82 111 20 66
351	7 82 210
352	67 161 126 20
353	177 150 218
354	54 121 64 66
355	8 17 43
356	4 149
357	101
358	8 43
359	208 177 101
360	56 140
361	56 126 169 75
362	29 17 43 44
363	16 163
364	1 58 201 59
365	109 84
366	27 10
367	202 141 54 97
368	105 146 203
369	7 3 222 116
370	100 30 45
371	174 146 155 118
372	34 35 139 175
373	34 73 141 69
374	27 223 126 94
375	90 150 51
376	16 83 38
377	90 101 29
378	23 35 100 13
379	187 105 62
380	136 90 218 101
381	56 106 221
382	16 45
383	89 44
384	187 105
385	35 53
386	224 215 225
387	60 8 3
388	210 128 57 89
389	83 33 14 38
390	33 90 51
391	34 58 201 121 59
392	132 133
393	194 175 133 207
394	182 203 89
395	132 90 150 51
396	56 138 75
397	82 51 101 135
398	164
399	38
400	27 4 130 168 94
401	187 164
402	32 15 160 75
403	202 141 176 86
404	7 8 133
405	132 148
406	34 202 141 207 69
407	144 32 42
408	196 207 51 101
409	25 31
410	136 55 105 164
411	39 29
412	54
413	160 226 227 188
414	73 107 207 38
415	34 228
416	199 28 122 57
417	8 11 138 229
418	131 84 173
419	40 82
420	139 133
421	139
422	196 107 128 43
423	8 220 128 43
424	128 43 138 44
425	27 20 11
426	30 53 57
427	160 119
428	40 90 51 230
429	131 84 53
430	131 109 200
431	8 207 51
432	82 105
433	167 87 159
434	201 56 3 138 59
435	120 231 49 232
436	172 121 128
437	54 154 184 9
438	82 45 149 221
439	202 172 87 20
440	233 46 6
441	2 177 227
442	53 177 183 45
443	117 121 234
444	172 148 57
445	158 56 177
446	40 90 101 231
447	221
448	5 218 101 231
449	58 51 101 184
450	85 148 211 138
451	46 227 235
452	175 133 123
453	39 109 43 200
454	163 126 148
455	99 112 3 151
456	20
457	32 27 163 100
458	56 105 62 66
459	177 43
460	40 123 173
461	90
462	183 184 9 102
463	161 220 205 28
464	7 176 121 151
465	236 237 40 207
466	58 201 238 59
467	60 7 205 164
468	175 150
469	209 40 63 148
470	40 125 231
471	82 27 56 94
472	90 218 101
473	117 20 10 44
474	58 201 68 59
475	58 201 53 59
476	236 237 55 78
477	39 109 11 75
478	239
479	144 92 173
480	240 175 115
481	182 20 6 138
482	34 2 20 138
483	136 100 38
484	139 175 177 227
485	15 13
486	29
487	8
488	90 51 31 119
489	40 214 134
490	7 8 20 221
491	197 136 207 210 241 137 235
492	1 8
493	40 164 148 20
494	155 118
495	23 58 201 59
496	67 5 17
497	215 104
498	109 175 133 177
499	32 27 173
500	16 126
501	210 20 17 128 138
502	177 150
503	144 31
504	35 15 68 69
505	45 155 149 48
506	185 174 11 135 75
507	58 201 242 59
508	1 58 201 191 53 59
509	27 56 62
510	85
511	145 121 6
512	158 132 133 83
513	175 133 45 71 47
514	70 133 150 51 101
515	8 15 177 183
516	100 53 126 234
517	209 17 149 221
518	1 2 40 200
519	207 68 217 221
520	233 40
521	8 40 54 221
522	114 205 104 142
523	218 234
524	34 39 109 231
525	243 119
526	163 90 150 101 94
527	244 209 163 149
528	177 210 138 31
529	34 205 50 20
530	42 63 53 62
531	17 104
532	107 54
533	197 45 43 138
534	7 50 28 3
535	245 172 31
536	82 246 87 94
537	27 33 138 75
538	16 161
539	51 101 11
540	35 181 173
541	17 128 226
542	34 5 90 51
543	89 153
544	51 101 157
545	28 25
546	139 133 56
547	225
548	128 108 11 227
549	158 210 11 75
550	178 114 107 172
551	175 133 155
552	202 156 187 62 97
553	70 42 56 138
554	162 158 175 177
555	56 247 78
556	23 197 136 63 137
557	48 75
558	11 25
559	225 28 166
560	194 175 17 10
561	2 50 54 148
562	141 148 222 77
563	209 40 149
564	176 212 208 159
565	209 172 208 159
566	248 242 199 205
567	109 2 177 227
568	249 225 56 138
569	197 136 100 121
570	145 66
571	8 126 148 20
572	82 227
573	209 246 159
574	83 27 46 138
575	139 177 102
576	245 158 175 148
577	245 194 74
578	16 205 85 126
579	148 48 229
580	23 109 43 142
581	40 148 239
582	40
583	100 65 31 234
584	8 43 149
585	7 177 138
586	105 66 250 26
587	7 2 173
588	2 40 46 138
589	152 234
590	45 31 75
591	78
592	209 17 10 138
593	144 82 27 210
594	58 201 59
595	8 177
596	126 148 62
597	83 27 56 126 210
598	51 230
599	42 56
600	128 222
601	42 126 45 229
602	15 45 48 22
603	34 40 173 221
604	20 17
605	148 20 138
606	240 204 20 160
607	34 7 17 26
608	2 148 149
609	64
610	161 17 6 138
611	161 40 54 25
612	176 128 43
613	8 29 135 149
614	8 40
615	228 177 150
616	34 145 8 102
617	161 209 220 102
618	178 209 210
619	161 209 186
620	2 162 209 177
621	145 209 63 208
622	145 209 63 55
623	209 199 177 183
624	8 209 204 148
625	209 146
626	145 178 209 126
627	144 70 209 63
628	209 27 148 210
629	7 244 209 81
630	2 209 126 221
631	145 209 172
632	209 204 186 66
633	114 209 167 66
634	209 148 173 169
635	34 2 209 26
636	209 148 218 10
637	209 199 177 183
638	244 209 177 230
639	209 112 66 221
640	145 209 199 205
641	209 199 211
642	161 210
643	153
644	7 109 128 159
645	42 220 6
646	37 196 100 121
647	196 207 90 51
648	158 175 177
649	136 43
650	8 150 3 26
651	7 2 53 227
652	7 8 56 173
653	40 90 101
654	202 208 148
655	225 196 20 149
656	70 99 56 126
657	2 205 50 126
658	54 221
659	70 56 46
660	114 161 208
661	34 144 32
662	67 46 48 26
663	56 46 149
664	26
665	222
666	7 63 148 146
667	145 66 97
668	177 183 149
669	1 8 199 177
670	17 221 22
671	27 196 100 28
672	3 222 138
673	178 83 210 213 75
674	194 56 138 48
675	2 177 3 138
676	40 45
677	34 109 2
678	144 228 106
679	34 228 148
680	16 161 81 45
