Students	1104
1	1
2	2
3	3 4 5
4	6 7 8 9
5	10 11
6	12
7	13
8	3 14 5
9	3 14 5
10	3 4 5
11	15 16 17
12	18
13	3 14 5
14	19 20 21 22 23
15	24 25
16	26 1 27 28
17	29 30
18	31 32 2 33
19	34 35
20	27 17
21	36 37 38
22	37 39 40 17
23	41 15 35
24	42 43 44
25	45 46 47 35
26	48 49 50
27	51 52
28	15 35 33 52
29	53 40 54 55
30	20 56 57
31	58 19
32	59
33	60 61 39 50
34	62
35	41 40 63
36	31 64 17 65
37	31 66 36 67
38	68 69 70
39	64 33
40	71 72
41	45 73 74 75
42	17
43	76 18 2 52
44	77 28 78
45	36 33
46	67 74
47	79 47 35 80
48	81 19 82
49	66
50	83 63 9
51	29 10 47 17
52	84
53	47 35
54	85 86 68 87
55	88 19 75
56	2 89
57	90 47 91 92
58	93 94 13
59	95 96
60	18 97 28 96
61	49 98 99 100
62	29 101 92
63	102 75
64	103 63
65	37 40 63
66	104
67	19
68	28 105
69	77 42
70	56 106
71	52
72	40 63 102
73	61 40
74	97 100
75	103 6 24 7
76	29 36 38
77	107 40 63
78	108
79	109 110
80	111 112 113 114
81	28 108
82	29 115 31 66
83	116 15 35
84	29 70
85	117
86	26
87	118 119
88	120 36 121 122
89	120 7 122
90	26 1 22
91	18 43 123 96
92	79 124 125
93	77 80
94	95 126 84 127
95	128 77 35
96	129 31 66 54
97	129 79 80 78
98	63
99	130 131 51
100	19 56 132
101	56 34 18 133
102	77 35 33
103	58 19 82
104	32 30
105	101 134 135
106	79 43
107	29 18 136
108	61 40 54
109	15 47 35 52
110	45 137 84 75
111	34 27 73 138
112	139 9
113	86 113 124 62
114	81 88 19 140
115	51 47
116	61 70 55
117	15 47 35
118	141 18 128
119	142 38 13
120	66 94
121	49 120 93
122	31 66 79 65
123	35 87
124	40
125	61 39 40
126	112 1 107
127	83 143 10 105
128	121 47 35
129	21 144 145 146
130	147 84 148
131	49 34 71
132	101 109 5
133	97 57
134	47 35
135	139 138
136	29 34 18
137	149 147
138	83 79 17
139	54
140	58 19 93
141	71 18 40
142	103 39 63
143	39 40 63
144	85 2
145	34 124 150
146	26 151 21 22
147	152
148	18 40 87
149	29 153
150	34 18
151	86 98 147 13
152	119 38
153	27 25 28
154	12 90 51 146
155	18 52 154
156	81 71 18 82
157	4 97 155 92
158	51 35
159	18 43 96
160	142 156
161	153 121 27 62
162	101
163	131 84 57 148
164	12 33 123
165	26 1 128
166	34 113 116 35
167	100
168	82 157
169	158 97 155
170	158 155 80 91
171	158 159 126
172	21 44
173	49 73 33
174	61 40 55
175	33 134 135 17
176	102 33 16 17
177	160 161 18 133
178	159 28
179	129 111 31 66 65
180	49 86
181	39 40
182	68 162 156
183	73
184	81 58 19
185	18 163 123 96
186	106 33 87
187	164 165 104
188	32 99 116 35
189	126 84 127
190	163 84 148 82
191	29 153 1 166
192	18 27 75 43
193	68 10 167
194	100
195	83 63 33
196	168 116 15 35
197	32 116 35 57
198	161 71 124
199	58 169 82
200	6 41 47
201	116 102 78
202	110 170 92
203	31 66 85 171 156
204	69 70
205	170 28 154
206	26 112 1 45
207	41 156
208	129 19
209	85 34 71 18
210	172 132 39 40
211	173 88 19
212	68 174 65 123
213	175 176
214	58 40 55
215	26 118 142
216	177 178 34 108
217	115 73 116 77
218	141 94
219	179
220	151 107 159 148
221	180 25 57
222	116 15 35 78
223	134 135 17 75
224	149 126 84 99
225	36 99
226	49 120 4 181
227	103 9
228	182 94
229	49 119
230	51 40
231	18 96
232	12 34
233	51 143
234	177 32 90
235	64 58 33 43 9
236	62 94 42
237	129 153 103 72
238	7 39 40
239	19 175 82
240	88 19 23
241	28
242	36 5 100
243	18 43
244	97 10 105
245	179 47 35
246	160 18
247	34 18
248	60 89 44
249	170
250	183 56 178 133
251	160 97 73 138
252	32 97 73 138
253	103 83 40
254	3 162 184
255	116
256	120 97 73
257	62
258	6 185 33
259	51 33 57 65
260	77 47 35
261	67 47 35 157
262	29 120 98
263	47 35
264	118 119
265	103 79 78
266	29 39 40 63
267	48 120 4 37
268	17 138
269	118 119 97
270	56 178 154
271	120 106
272	35 94
273	121 42 8 75 28
274	166 186 106
275	18 187 96
276	188
277	85 189 28
278	158 46 99 42
279	190 191 192 122
280	90 51 57 75
281	40 55
282	129 68 33 17
283	29 175 110 193
284	97 40 10
285	116 47 35
286	6 41 47 35
287	183
288	36 184
289	77 35
290	31 66 152
291	147 39 63
292	60 110 194 96
