Students	1703
1	1 1 2 2 3
2	1 1 2 2 3
3	4 5 132 55
4	6 7 32 43
5	8 9 71
6	10 147 50
7	11 12
8	3 130 130 194 194 74
9	13 5 90
10	14
11	15 226 68
12	16 108 8
13	9
14	14 17
15	11 23 48
16	18 19
17	20 7
18	14 21
19	14 36
20	21 22 147 57 181
21	16 93 76
22	23 24 20 29
23	16 71 90
24	25 26 22
25	15 235 86
26	27
27	28 22 143 63
28	29 30 31
29	32 33 34 35
30	36 8 37 206 66
31	38
32	39 40 124 281
33	8 16
34	41 42 20
35	43 24
36	29 3 24 44
37	45 46
38	14 47 48 27
39	27
40	49 50 10
41	12
42	11 3 12
43	9 27 51
44	10 52
45	53 8 9
46	54 26 65 16
47	24 66 29
48	7 20 218
49	55 56 57 9 180
50	57 5 7 34
51	58 59 60 61 26
52	11 12
53	16 8 111
54	11 62 235
55	63 7 224 66
56	18 63 90
57	64 65 66 224
58	67 24 48 86
59	68 69 226
60	29 5 70
61	10 50 147
62	62 49
63	16 27
64	8 20 48 5
65	8 16
66	47
67	13 71 16
68	72 35 62
69	73 41
70	24 74 2 280 2
71	75 76 20
72	77 76 261
73	10 78 79 147
74	80 81 17
75	11 86 235
76	82 15 226 130 130
77	83 72 84 131
78	3 81
79	61 28 39 116
80	85 58 72
81	86 87 24
82	88 62 231
83	72 53 35 129
84	89 84 90 76
85	91 97
86	92 102 184
87	93 10
88	91 97 207
89	13 94
90	23 95 16
91	96 97 39 40
92	14 141 276 277
93	48 17
94	11 24
95	10
96	28 40 153
97	34
98	98 251
99	39 153
100	88 2 2 99 66
101	100 192 23
102	101 185
103	102 17 137
104	2 2 29 24
105	76 93 165
106	103 104 201 35 80
107	83 93 105 75
108	34 17 106 51
109	107 108 109 101 20
110	110 280 116 28
111	53 23 111 48 20
112	112 113 48 57
113	57 114 66
114	115 116 117 90
115	55 36 118 166
116	13
117	119 120 121 121 29
118	98 122 293 242
119	27 111 3 151
120	123 2 2 3 20
121	2 12 231
122	53 124 140 220
123	3 12 74
124	125 120 28
125	2 2 206
126	126 188 100 57
127	127
128	49 128 129 169
129	130 130 72 3 131
130	117 132 32 28
131	2 133 2 150 160
132	134 135 90 136
133	84 137 184
134	2 124 2 55 78
135	138 133 70 113
136	139 80 22 26
137	28 100 140
138	130 130 53 235
139	49
140	9 46
141	125 141 30
142	36 2 24 2 29
143	96 7 6
144	141 62
145	28 133 128 138 183
146	114 142 131 78
147	31 30 156 124
148	143
149	144 70 7
150	112 34 143
151	61 220
152	112 205 71 224
153	73 90 254 189
154	96 142 133 158
155	145 146
156	3 12 151
157	140 48 71 100
158	97 138 28
159	147 270
160	148 120 107
161	130 130 67 31 182
162	130 130 37 71 121 121
163	116 91 125 20
164	130 130 149 74
165	130 130 3 66 175
166	96 38 55
167	150 151 144
168	152 133
169	92 153 116 39
