Students	1096
1	1
2	2
3	3 4
4	5
5	6 7
6	8
7	9 10 11
8	12
9	3
10	13 14
11	15 16 17 18
12	19 3 20 21
13	22 23
14	6 24
15	25 26
16	27 28 29 30
17	31 32 33
18	34 35 36
19	37 16 12
20	38 39
21	40 41 42
22	43 44
23	45 46 47
24	48 49 50 25
25	46 47
26	45 11
27	51 52
28	53 44 54
29	15 16 55 56 57
30	58
31	4
32	59 60
33	40 10 61
34	62 47 63
35	64 65
36	36 65
37	34 66 67
38	68
39	37 15 16 41
40	69 7
41	70 71 72
42	73 17 57
43	28 74 75
44	76 11 77
45	65 23
46	78 79 65 80
47	81 36 82 7
48	83
49	84 85 47 86
50	70 71 85
51	78 87 2 7
52	88 89 90
53	41 29
54	91 79 36 80
55	92 11 93 94
56	16
57	75
58	16 28 95
59	27 53 96
60	25 81 23
61	94
62	32 33
63	97 98
64	35 47 33
65	99 100
66	28 71 101
67	1 33
68	102 103 72 104
69	105 64
70	17 86 18
71	99 5
72	15 53 58 106
73	40 77 82
74	34 107 61
75	97 108
76	109 10 77
77	85
78	110 51 27
79	36 65 111 60
80	99 84 112
81	113 51 47 86
82	2 47
83	114 115
84	114 115
85	52 116 36 65
86	55 56 64
87	117 97 108 68 2
88	50 92 118 112
89	119 120 121
90	122
91	123 71 18
92	34 36
93	124 5
94	31 71
95	75
96	24 60 112
97	37 71 86 18
98	40 125
99	108 59 9 119
100	40 50 13
101	15 16 110 126
102	79 80
103	87 4 112
104	42 58 127
105	128 82
106	123 71 86
107	71 129 69
108	2 130 47 131
109	24 60
110	44 10
111	76 13 4
112	85 47 86
113	75 132 133
114	51
115	103 134 135
116	124
117	20 21 4
118	136 23
119	137 75 138
120	11 61
121	28 58
122	1 98 78 2 7
123	139 14 4
124	64 36
125	79 81 80 11
126	40 96 140
127	53 65 80
128	53 20 21 4
129	27 90 115
130	35
131	64 141 26
132	109
133	78 142 7
134	35 114
135	72 134 143
136	36 65 80 77
137	27 28 26
138	144 75
139	75
140	130 47 140
141	35 47 33
142	145 122 44
143	34 146 46
144	147 64 65
145	27 104 75
146	49 148
147	149 44
148	2 150 7
149	142
150	34 146 46
151	15 16 1 101
152	24 59 151 33
153	40 48 148 13
154	90 4
155	34 107 121
156	31 44 82
157	55 56
158	35
159	103 134 26 80
160	148
161	45 145 5 115
162	79
163	15 16 28
164	96
165	123 71 5
166	78 152 7
167	142 119 8
168	153 64 154
169	40 155
170	40
171	23 132
172	64
173	46 130 47 90
174	73 58 76 25
175	156 78
176	48 71
177	157
178	99 11 61
179	103 134 85 47
180	141 158 121
181	65 120
182	14 115
183	51 76
184	125 23
185	124 5 111 159
186	139
187	124 44
188	100 80 115
189	160 108 161 107 36 65
190	40 64
191	36 65 80
192	34 7
193	53 93
194	41 96 141
195	69 81 80
196	110 27 100 80
197	99
198	71 13 86
199	117 141 11
200	100 80 162 46
201	163 77
202	109 3 7
203	95 45 34 65
204	68 44 159
205	164 71 101 6
206	95
207	64 81 80 22
208	5 26 33
209	70 118 115
210	127 46 47 165
211	82
212	166 24 26 163
213	134
214	6 24 60
215	80 142 22
216	134 65 80
217	66 35
218	35 80 54
219	42 78 152 90
220	55 56 52 36 80
221	93 77
222	167 15 16 20 21
223	53
224	104 89
225	10 77
226	167 25 138
227	163 77
228	101 6 24 150
229	17 5 168 169
230	27 53 134 54
231	136 106
232	49
233	170 171 159
234	64 10 11 115
235	79 100 80 82
236	8 172
237	145 122 11
238	152 20 21 90
239	40 41 42
240	85
241	68 125
242	5 122 67
243	156 71
244	30 4 106
245	72 85 47 33
246	42 58
247	173 93 77
248	134 33
249	55 56 174 175 163
250	96 129
251	176 28 33
252	177 15 178 54
253	175
254	144 147 72
255	27 28 29 140
256	48 37 15 16
257	167 153 29 26
258	70 116 9
259	179 82 159
260	124 180 82
261	130 85 47 33
262	118 72
263	27 53 96
264	130 47 90
265	145 76 44 159
266	88 181 3 63
267	71 85 18
268	142 77
269	124 182 150
270	1 102 88 183
271	93 77 82
272	51 182 62 85 47
273	167 27 29 102
274	103 134
275	156 123 128 135
276	137
277	34 146 75
278	51
279	105
280	82
281	37
282	47
283	88 3 90
284	122 47 33
285	110 41 90
286	36 80
287	71 26 33
288	28 58 184
289	43 26 10 172
290	28 114 132 115
291	92 79 80 112
292	110 74 42 106
293	185 69 75
294	107 81 186
295	187 52 123 188
296	23
297	55 56 168 169
298	15 16
299	27 53 96
300	85
301	17 57
302	75 88 181
303	170 103 125
304	72 36 65
