Course	Room	Teacher	Time	Students
205	1	125	0	322 475 493 494 521 522 524 571 573 630
113	1	86	1	80 113 166 381 383 392 396 427 448 463
60	1	50	2	33 248 292 312 358 454 464 471 476 501
3	1	3	3	3 8 9 10 13 254 317 324 361 403
48	1	26	4	26 267 324 361 372 391 400 411 422 502
124	1	92	5	92 113 145 198 341 394 469 470 475 490
7	1	7	6	4 75 89 238 301 335 362 371 377 398
57	1	48	7	30 133 163 197 221 259 280 330 331 397
14	1	14	8	8 9 13 294 322 335 460 507 524 612
29	1	26	9	17 51 62 76 82 84 107 136 149 191
32	1	29	10	18 104 188 197 234 252 319 334 357 363
97	1	35	11	60 74 133 157 169 244 251 252 256 269
150	1	37	12	145 326 341 344 354 357 367 465 482 486
158	1	105	13	169 170 171 278 408 670 680 683 742 766
229	1	130	14	588 599 610 632 641 651 664 675 690 717
106	1	61	15	70 186 271 274 362 475 538 579 590 603
4	1	4	16	3 10 157 226 267 324 421 458 465 469
40	1	35	17	22 29 35 65 72 73 77 108 124 125
37	1	33	18	21 22 65 267 346 370 389 490 600 606
35	1	10	19	19 23 25 28 47 53 83 95 102 109
212	1	129	20	362 379 428 457 472 494 513 515 556 587
5	1	5	21	3 8 9 10 13 132 242 337 424 439
67	1	56	22	37 46 261 454 475 493 549 575 585 593
33	1	30	23	18 28 39 45 102 164 173 175 176 186
62	1	52	24	34 113 161 236 257 337 346 400 415 420
94	1	78	25	58 120 218 228 236 272 349 399 415 417
102	1	82	26	63 72 176 201 307 346 364 371 385 399
143	1	65	27	127 233 366 386 503 523 559 605 635 645
18	1	17	28	12 43 60 91 101 107 118 136 141 148
132	1	97	29	100 210 295 365 643 749 826 838 888 889
31	1	28	30	18 36 37 82 96 122 179 203 290 294
168	1	49	31	196 414 426 430 436 458 556 572 594 623
10	1	10	32	5 51 127 193 244 284 296 396 408 471
56	1	31	33	30 70 100 101 250 270 320 328 351 397
121	1	91	34	88 128 161 273 305 387 431 473 478 497
153	1	101	35	149 161 191 237 326 359 368 380 384 401
178	1	38	36	216 250 270 312 321 328 369 372 373 375
120	1	90	37	88 89 121 226 256 262 267 271 317 333
39	1	7	38	22 33 125 142 143 181 210 238 266 291
47	1	10	39	25 47 51 53 109 115 117 128 134 200
73	1	61	40	41 111 173 183 217 251 252 256 357 375
83	1	6	41	50 127 138 195 253 303 457 471 482 500
