Course	Room	Teacher	Time	Students
2	1	2	1	2 51 82 87 108
75	1	63	2	43 57 95 113 119
102	1	83	3	68
30	1	26	4	16
63	1	53	6	34
106	1	85	8	72
107	1	86	9	74
29	1	25	12	16 53
1	1	1	13	1 67 122
26	1	2	14	15
40	1	36	15	21 33 73 98 100
82	1	69	17	47 73 105
88	1	18	18	52
8	1	7	19	6
136	1	99	20	118
13	1	12	23	10 100 111
65	1	55	24	36 45 46 79 85
36	1	32	26	18 36 47 54 79 92
128	1	101	27	105
98	1	79	28	63
124	1	98	29	93 116
41	1	37	30	21 39 53
116	1	92	32	85
15	1	14	33	11 29 39 72 101
28	1	24	34	16 43 58 66 121
80	1	67	35	54 102
70	1	59	37	41 50
103	1	84	38	68 115
11	1	10	40	7 26 44 55 120
47	1	7	41	23 25 34 49 64 81 82 108 112
10	1	9	42	7 33 76 110
19	1	17	43	12
79	1	66	44	46 54 102
83	1	70	45	48
115	1	13	46	83 84
134	1	30	47	115
12	1	11	49	8 19
5	1	4	53	4 71 93
85	1	72	54	49 50 77 112
99	1	80	55	65 71 80
101	1	82	56	66
104	1	82	57	68
131	1	53	58	108
6	2	5	0	5 14
16	2	14	1	11 19 29 39 56 58
33	2	29	2	17 62 64 67
45	2	34	3	23 26
71	2	60	4	41 50 66
27	2	23	7	16 59 78
34	2	30	8	18 37 74
59	2	50	9	32
120	2	94	10	89
44	2	40	14	22 28
74	2	62	15	43
46	2	41	16	23 25
61	2	52	17	33 74
122	2	96	18	90
42	2	38	23	21
64	2	54	24	35 69 86
69	2	58	25	40
90	2	75	26	52
105	2	27	27	69
23	2	20	28	13 45 60
37	2	33	29	19 39
39	2	35	30	20
53	2	38	31	28 59 72
72	2	61	32	41 68
76	2	4	33	44
77	2	64	34	44 73 76
78	2	65	35	46 51
93	2	64	36	55
95	2	77	37	58
3	2	3	39	3 9 12
7	2	6	40	5 40 47 51
22	2	19	41	13
31	2	27	42	17
60	2	51	43	32 79
86	2	73	44	49 70 81
110	2	45	45	78
4	2	3	49	3 31
9	2	8	50	7
24	2	21	51	14
25	2	22	52	15 24 60
35	2	31	53	18 64
48	2	42	54	24
68	2	57	55	38 87
38	2	34	57	20
55	2	45	58	29 86
89	3	74	0	52
112	3	89	1	80 88 96 103
135	3	75	3	115
51	3	45	8	27 78 81 114
56	3	45	9	29 86
58	3	49	10	30 72 104 121
66	3	56	11	37
81	3	68	12	47 60 125
92	3	76	13	55 88
111	3	88	14	79
118	3	93	15	88
123	3	97	16	91 106
126	3	99	17	101
137	3	106	18	119
18	3	16	22	11 70 91 97
20	3	18	23	12 117
21	3	18	24	12 117
49	3	43	25	24
52	3	46	26	27 85
96	3	23	27	59
113	3	90	28	81
117	3	70	29	87
129	3	102	30	107
17	3	15	36	11 42 70
50	3	44	37	24 88 100
97	3	78	38	63 75 87
108	3	78	39	75 87 99
130	3	103	40	108
133	3	105	41	113
100	3	81	49	65
114	3	91	50	83 84
119	3	8	51	89 99
43	3	39	56	22
67	3	17	57	37
94	3	52	58	55 61
109	4	87	0	76 132 202
121	4	95	1	89 155 180 309
125	4	11	2	98 184 241 303
146	4	26	3	143 150 277 323
152	4	50	4	166 219 238
158	4	118	5	180
178	4	87	6	252
180	4	132	7	260
187	4	134	8	295
191	4	134	9	310
14	4	13	10	10 123 182
32	4	28	11	17 62
57	4	48	12	29 42 301
62	4	35	13	34 272 322
73	4	15	14	42 174
84	4	71	15	49 80
87	4	22	16	51 103 308
91	4	21	17	54
127	4	100	18	104 210
139	4	108	19	123 186
143	4	35	20	135
161	4	121	21	189 307
169	4	124	22	229 297
177	4	62	23	252
164	4	58	28	205
166	4	97	29	212
149	4	96	36	147
151	4	97	37	152
176	4	130	38	251
189	4	136	39	307
190	4	104	40	309
